time,open,high,low,close,volume
2023-02-14 15:00:00,103.27,103.56,102.97,103.44,876951
2023-02-14 14:00:00,103.05,103.675,103.04,103.28,936194
2023-02-14 13:00:00,103.55,103.59,102.96,103.055,899830
2023-02-14 12:00:00,103.24,103.586,102.91,103.57,1694431
2023-02-14 11:00:00,103.89,103.98,102.8,103.25,2402077
2023-02-14 10:00:00,104.423,104.55,101.85,103.9,2681176
2023-02-14 09:00:00,105.0433,105.2344,103.55,104.42,114442
2023-02-14 08:00:00,104.32,104.55,104.26,104.53,22386
2023-02-14 07:00:00,104.45,104.46,104.27,104.27,18929
2023-02-14 06:00:00,104.33,104.43,104.33,104.4,1671
2023-02-14 05:00:00,104.22,104.8,104.16,104.3,20579
2023-02-13 20:00:00,105.05,105.16,105.0,105.16,11387
2023-02-13 19:00:00,105.0,105.1,105.0,105.1,6777
2023-02-13 18:00:00,104.8501,105.08,104.8501,104.95,6792
2023-02-13 17:00:00,104.79,105.05,104.7,104.92,1956189
2023-02-13 16:00:00,105.05,105.15,104.75,104.85,2528378
2023-02-13 15:00:00,105.39,105.52,104.88,105.055,1092919
2023-02-13 14:00:00,105.0026,105.52,104.98,105.385,1002265
2023-02-13 13:00:00,105.08,105.24,104.98,105.0,1118069
2023-02-13 12:00:00,105.0,105.67,104.75,105.08,1857464
2023-02-13 11:00:00,105.23,105.67,104.74,104.99,3240188
2023-02-13 10:00:00,105.65,106.35,104.15,105.22,4266990
2023-02-13 09:00:00,105.511,105.9,105.5,105.7,75392
2023-02-13 08:00:00,105.56,105.83,105.45,105.65,56584
2023-02-13 07:00:00,105.65,105.7,105.39,105.55,31498
2023-02-13 06:00:00,105.55,105.73,105.55,105.69,10569
2023-02-13 05:00:00,105.05,105.99,105.05,105.56,44392
time,open,high,low,close,volume
2023-02-10 20:00:00,103.5,103.8,103.5,103.65,8476
2023-02-10 19:00:00,103.62,103.63,103.5,103.5,5546
2023-02-10 18:00:00,103.7,103.9203,103.61,103.65,612490
2023-02-10 17:00:00,103.65,103.9203,103.59,103.69,669362
2023-02-10 16:00:00,103.1499,103.735,102.79,103.66,3202032
2023-02-10 15:00:00,103.74,103.79,103.1,103.14,1904267
2023-02-10 14:00:00,104.185,104.56,103.7182,103.73,1567643
2023-02-10 13:00:00,103.58,104.26,103.04,104.19,2596425
2023-02-10 12:00:00,104.735,104.93,103.58,103.58,2595268
2023-02-10 11:00:00,105.36,105.61,104.53,104.75,2663959
2023-02-10 10:00:00,105.84,106.64,105.17,105.3692,2258314
2023-02-10 09:00:00,105.72,106.0,105.5,105.83,82554
2023-02-10 08:00:00,105.79,105.9,105.41,105.55,39207
2023-02-10 07:00:00,105.98,105.99,105.63,105.79,10801
2023-02-10 06:00:00,105.63,106.0,105.5,105.86,12456
2023-02-10 05:00:00,106.1,106.24,105.38,105.61,33342
2023-02-09 20:00:00,108.36,108.47,108.08,108.08,12294
2023-02-09 19:00:00,108.46,108.51,108.2,108.5,3643
2023-02-09 18:00:00,108.59,108.6,108.0696,108.4867,8930
2023-02-09 17:00:00,108.48,108.5,108.15,108.417,103116
2023-02-09 16:00:00,108.18,108.56,107.75,108.4799,2218547
2023-02-09 15:00:00,108.77,108.84,107.9,108.173,1214218
2023-02-09 14:00:00,108.555,108.78,108.32,108.7778,867705
2023-02-09 13:00:00,108.19,108.8197,108.01,108.58,1136663
2023-02-09 12:00:00,109.22,109.23,107.77,108.18,2582597
2023-02-09 11:00:00,108.645,109.57,108.25,109.24,3337687
2023-02-09 10:00:00,108.54,109.81,108.06,108.65,3955090
2023-02-09 09:00:00,108.25,109.84,108.1,108.53,128184
2023-02-09 08:00:00,108.9,108.91,108.04,108.21,209693
2023-02-09 07:00:00,109.11,109.17,108.9,108.98,32970
2023-02-09 06:00:00,109.21,109.25,109.08,109.11,32081
2023-02-09 05:00:00,109.14,109.3,108.29,109.22,109585
2023-02-08 20:00:00,105.0,105.08,104.88,105.0,19406
2023-02-08 19:00:00,105.03,105.08,104.77,104.99,15816
2023-02-08 18:00:00,105.22,105.22,105.01,105.08,17041
2023-02-08 17:00:00,105.27,105.3,105.11,105.22,84606
2023-02-08 16:00:00,105.435,105.49,104.96,105.13,1624149
2023-02-08 15:00:00,105.63,105.7038,105.42,105.4301,692680
2023-02-08 14:00:00,105.81,106.1,105.28,105.6312,729542
2023-02-08 13:00:00,106.26,106.27,105.4,105.81,950776
2023-02-08 12:00:00,105.01,106.48,104.84,106.2854,2201922
2023-02-08 11:00:00,104.3221,105.39,103.55,105.01,2672881
2023-02-08 10:00:00,107.65,108.0,103.6,104.33,3802295
2023-02-08 09:00:00,108.75,109.45,105.5,107.68,389687
2023-02-08 08:00:00,109.3,109.88,107.96,108.4,563931
2023-02-08 07:00:00,104.88,110.21,104.88,110.19,303352
2023-02-08 06:00:00,104.7,104.89,104.5,104.89,5444
2023-02-08 05:00:00,105.5,105.5,104.69,104.72,12638
2023-02-07 20:00:00,105.71,105.85,105.5,105.8,7669
2023-02-07 19:00:00,105.55,105.8,105.5,105.8,10251
