,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-09-20,102.94,103.73,100.93,101.45,101.45,12860716,0.0000,1.0
2016-09-19,105.16,105.5,102.195,103.03,103.03,15226735,0.0000,1.0
2016-09-16,104.0,105.39,103.86,104.64,104.64,20361741,0.0000,1.0
2016-09-15,102.62,104.48,102.53,104.45,104.45,20833716,0.0000,1.0
2016-09-14,100.08,102.59,100.02,102.4,102.4,19597879,0.0000,1.0
2016-09-13,100.38,101.49,98.84,100.28,100.28,20004920,0.0000,1.0
2016-09-12,97.38,101.38,97.0,100.8,100.8,17318186,0.0000,1.0
2016-09-09,101.8,102.21,99.05,99.62,99.62,21250414,0.0000,1.0
2016-09-08,101.93,103.78,101.63,102.57,102.57,15475494,0.0000,1.0
2016-09-07,103.84,104.0,102.26,102.32,102.32,15755926,0.0000,1.0
2016-09-06,100.45,104.3,100.45,103.78,103.78,32793099,0.0000,1.0
2016-09-02,97.97,99.665,97.97,99.25,99.25,17477837,0.0000,1.0
2016-09-01,97.3,98.0,97.01,97.42,97.42,13387366,0.0000,1.0
2016-08-31,96.14,97.2,96.01,97.19,97.19,28617010,0.0000,1.0
2016-08-30,95.35,96.68,95.17,96.0,96.0,13989764,0.0000,1.0
2016-08-29,94.6,95.16,94.21,94.88,94.88,8815749,0.0000,1.0
2016-08-26,94.15,95.45,94.08,95.06,95.06,14133920,0.0000,1.0
2016-08-25,93.75,94.69,93.12,93.94,93.94,13034568,0.0000,1.0
2016-08-24,95.68,96.3,93.56,93.88,93.88,12715438,0.0000,1.0
2016-08-23,95.59,96.48,95.41,95.79,95.79,9645770,0.0000,1.0
2016-08-22,96.47,96.63,94.75,95.65,95.65,16222875,0.0000,1.0
2016-08-19,96.91,97.24,96.34,96.86,96.86,14265029,0.0000,1.0
2016-08-18,97.25,97.94,96.62,97.0,97.0,15009049,0.0000,1.0
2016-08-17,96.17,97.25,96.05,97.0,97.0,14975164,0.0000,1.0
2016-08-16,96.15,97.15,95.05,96.66,96.66,27513961,0.0000,1.0
2016-08-15,98.28,98.86,96.82,97.17,97.17,33813431,0.0000,1.0
2016-08-12,92.98,98.35,92.91,98.25,98.25,71944156,0.0000,1.0
2016-08-11,92.14,92.8,91.26,91.77,91.77,54169169,0.0000,1.0
2016-08-10,86.01,87.73,86.01,87.33,87.33,28195881,0.0000,1.0
2016-08-09,85.05,85.63,84.8,85.24,85.24,15349237,0.0000,1.0
2016-08-08,84.99,85.02,84.3,85.0,85.0,11523723,0.0000,1.0
2016-08-05,85.01,85.08,84.44,84.59,84.59,9401657,0.0000,1.0
2016-08-04,83.75,84.98,83.69,84.75,84.75,10731563,0.0000,1.0
